SFZ367,1545029621,1545029973,52
XYZ878,1545016386,1545016719,33
DEF637,1545025719,1545026087,68
GHV256,1545018069,1545018385,16
TLM194,1545019603,1545019953,50
RMN273,1545030789,1545031142,53
TLM194,1545010206,1545010588,82
GHV256,1545015576,1545015952,76
MNO754,1545011962,1545012316,54
XYZ878,1545011471,1545011858,87
PQR842,1545029099,1545029458,59
ZSS651,1545019321,1545019694,73
GHV256,1544999415,1544999810,95
DEF637,1545007609,1545007954,45
ZSS651,1545028563,1545028887,24
ZSS651,1544996745,1544997077,32
MNO754,1544997707,1544998040,33
PQR842,1545007412,1545007777,65
XYZ878,1545023676,1545024030,54
XYZ878,1545002308,1545002616,8
FPY003,1545000663,1545000989,26
SFZ367,1544995424,1544995733,9
PQR842,1545009560,1545009921,61
DEF637,1545009689,1545010080,91
ABC345,1545014441,1545014835,94
AAA111,1545010420,1545010763,43
TLM194,1544994807,1544995173,66
MNO754,1545026857,1545027253,96
GHV256,1545007047,1545007349,2
GHV256,1545020673,1545021006,33
ABC345,1545001669,1545001976,7
TLM194,1545015555,1545015905,50
RMN273,1545029590,1545029950,60
ABC345,1545028179,1545028533,54
GHV256,1545012291,1545012633,42
TLM194,1545026457,1545026784,27
FPY003,1545029703,1545030018,15
BBB455,1545008348,1545008686,38
DEF637,1545014621,1545014990,69
SFZ367,1545024464,1545024840,76
AAA111,1545002670,1545003050,80
XYZ878,1545021137,1545021527,90
ABC345,1545002467,1545002767,0
GHV256,1545016028,1545016409,81
FPY003,1545027437,1545027738,1
AAA111,1545018064,1545018436,72
TLM194,1545033657,1545034012,55
PQR842,1545012416,1545012746,30
DEF637,1545010809,1545011156,47
XYZ878,1545010717,1545011078,61
AAA111,1544994890,1544995199,9
XYZ878,1544999834,1545000207,73
PQR842,1545021358,1545021728,70
AAA111,1545004936,1545005256,20
GHV256,1544999887,1545000214,27
TLM194,1545018463,1545018777,14
PQR842,1544998354,1544998669,15
RMN273,1545026593,1545026958,65
MNO754,1545015284,1545015675,91
ABC345,1545008474,1545008812,38
SFZ367,1545027317,1545027617,0
XYZ878,1545009349,1545009742,93
FPY003,1545022471,1545022861,90
MNO754,1544997281,1544997634,53
FPY003,1545020998,1545021329,31
FPY003,1545007769,1545008097,28
ABC345,1545021451,1545021838,87
MNO754,1545016558,1545016859,1
DEF637,1545022588,1545022949,61
FPY003,1545006205,1545006543,38
DEF637,1545011162,1545011469,7
GHV256,1545028609,1545028942,33
RMN273,1545027364,1545027693,29
PQR842,1545004637,1545005035,98
ZSS651,1545029822,1545030157,35
TLM194,1545017637,1545017975,38
MNO754,1545024856,1545025165,9
TLM194,1544996103,1544996440,37
ABC345,1545029385,1545029731,46
ZSS651,1544998013,1544998326,13
ZSS651,1544996305,1544996650,45
RMN273,1545024265,1545024597,32
GHV256,1545023092,1545023479,87
FPY003,1545013404,1545013786,82
RMN273,1545004477,1545004875,98
AAA111,1545029065,1545029442,77
RMN273,1545000378,1545000759,81
GHV256,1545007391,1545007775,84
PQR842,1545023825,1545024189,64
RMN273,1545011340,1545011668,28
XYZ878,1545001098,1545001475,77
XYZ878,1545022847,1545023217,70
DEF637,1545001619,1545002001,82
MNO754,1545001265,1545001600,35
